Code,Area,Active children-2007-08,All children-2007-08,Percent active-2007-08,Lower 95perc CI-2007-08,Upper 95perc CI-2007-08,Lower 99.8perc CI-2007-08,Upper 99.8perc CI-2007-08
00AB,Barking and Dagenham,23312,25329,92,91.7,92.4,91.5,92.5
00AC,Barnet,32173,36657,87.8,87.4,88.1,87.2,88.3
00AD,Bexley,30481,34416,88.6,88.2,88.9,88,89.1
00AE,Brent,28462,33133,85.9,85.5,86.3,85.3,86.5
00AF,Bromley,32812,36579,89.7,89.4,90,89.2,90.2
00AG,Camden,14517,16731,86.8,86.2,87.3,85.9,87.6
00AH,Croydon,37814,42904,88.1,87.8,88.4,87.6,88.6
00AJ,Ealing,32429,34900,92.9,92.6,93.2,92.5,93.3
00AK,Enfield,38417,41049,93.6,93.3,93.8,93.2,94
00AL,Greenwich,21514,26109,82.4,81.9,82.9,81.7,83.1
00AM,Hackney,16317,19994,81.6,81.1,82.1,80.7,82.4
00AN,Hammersmith and Fulham,12158,13289,91.5,91,92,90.7,92.2
00AP,Haringey,25547,28027,91.2,90.8,91.5,90.6,91.7
00AQ,Harrow,20559,24284,84.7,84.2,85.1,83.9,85.4
00AR,Havering,26579,31324,84.9,84.5,85.2,84.2,85.5
00AS,Hillingdon,29696,33673,88.2,87.8,88.5,87.6,88.7
00AT,Hounslow,25322,27741,91.3,90.9,91.6,90.7,91.8
00AU,Islington,16398,18516,88.6,88.1,89,87.8,89.3
00AW,Kensington and Chelsea,7939,8569,92.6,92.1,93.2,91.7,93.5
00AX,Kingston upon Thames,14919,16290,91.6,91.1,92,90.9,92.2
00AY,Lambeth,20962,23605,88.8,88.4,89.2,88.2,89.4
00AZ,Lewisham,24953,28442,87.7,87.3,88.1,87.1,88.3
00BA,Merton,17408,18882,92.2,91.8,92.6,91.6,92.8
00BB,Newham,38174,41294,92.4,92.2,92.7,92,92.8
00BC,Redbridge,28936,35014,82.6,82.2,83,82,83.3
00BD,Richmond upon Thames,16232,17467,92.9,92.5,93.3,92.3,93.5
00BE,Southwark,26556,30229,87.8,87.5,88.2,87.3,88.4
00BF,Sutton,21380,23045,92.8,92.4,93.1,92.2,93.3
00BG,Tower Hamlets,25065,28908,86.7,86.3,87.1,86.1,87.3
00BH,Waltham Forest,28436,30726,92.5,92.2,92.8,92.1,93
00BJ,Wandsworth,19419,22143,87.7,87.3,88.1,87,88.4
00BK,Westminster,13665,14702,92.9,92.5,93.3,92.3,93.6
A,North East,286238,316259,90.5,90.4,90.6,90.3,90.7
B,North West,789625,878842,89.8,89.8,89.9,89.7,89.9
D,Yorkshire and The Humber,577090,649687,88.8,88.7,88.9,88.7,88.9
E,East Midlands,491188,547716,89.7,89.6,89.8,89.6,89.8
F,West Midlands,635270,705631,90,90,90.1,89.9,90.1
G,East of England,648202,705080,91.9,91.9,92,91.8,92
H,London,768656,864146,88.9,88.9,89,88.8,89.1
J,South East,879537,982990,89.5,89.4,89.5,89.4,89.6
K,South West,553832,603410,91.8,91.7,91.9,91.7,91.9
921,England,5629638,6253761,90,90,90,90,90.1
